item_idx,degree,degree_group
810,411,high
811,933,high
812,1249,high
813,5,low
814,334,high
815,63,medium
816,308,high
817,60,medium
818,384,high
819,141,medium
820,129,medium
821,337,high
822,173,medium
823,42,medium
824,104,medium
825,28,medium
826,111,medium
827,4,low
828,283,high
829,64,medium
830,229,medium
831,125,medium
832,66,medium
833,206,medium
834,109,medium
835,150,medium
836,84,medium
837,154,medium
838,244,high
839,322,high
840,152,medium
841,590,high
842,316,high
843,318,high
844,20,medium
845,17,medium
846,6,low
847,37,medium
848,10,medium
849,15,medium
850,7,low
851,29,medium
852,21,medium
853,195,medium
854,5,low
855,8,low
856,417,high
857,878,high
858,18,medium
859,199,medium
860,2,low
861,58,medium
862,11,medium
863,33,medium
864,70,medium
865,2,low
866,1,low
867,52,medium
868,8,low
869,3,low
870,138,medium
871,9,low
872,29,medium
874,9,low
875,88,medium
876,3,low
877,2,low
878,353,high
879,66,medium
880,13,medium
881,29,medium
882,122,medium
883,8,low
884,6,low
885,31,medium
886,25,medium
887,23,medium
888,22,medium
889,64,medium
890,39,medium
891,109,medium
892,100,medium
893,23,medium
894,189,medium
895,136,medium
896,63,medium
897,113,medium
898,57,medium
899,154,medium
900,52,medium
901,342,high
902,154,medium
903,63,medium
904,364,high
905,165,medium
906,47,medium
907,159,medium
908,5,low
909,133,medium
910,676,high
911,336,high
912,106,medium
913,162,medium
914,314,high
915,136,medium
916,99,medium
917,592,high
918,1312,high
919,133,medium
920,4,low
921,2,low
922,2,low
923,353,high
924,265,high
925,31,medium
926,15,medium
927,69,medium
928,231,medium
929,206,medium
930,103,medium
931,51,medium
932,11,medium
933,44,medium
934,4,low
935,28,medium
936,152,medium
937,5,low
938,236,medium
939,555,high
940,212,medium
941,11,medium
942,52,medium
943,142,medium
944,14,medium
945,22,medium
946,80,medium
947,2,low
948,860,high
949,16,medium
950,557,high
951,256,high
952,973,high
953,681,high
954,239,medium
955,95,medium
956,86,medium
957,528,high
958,84,medium
959,293,high
960,11,medium
961,300,high
962,979,high
963,886,high
964,97,medium
965,404,high
966,321,high
967,775,high
968,388,high
969,245,high
970,1610,high
971,146,medium
972,108,medium
973,600,high
974,1,low
975,282,high
976,383,high
977,5,low
978,73,medium
979,16,medium
980,18,medium
981,8,low
982,8,low
983,10,medium
984,14,medium
985,264,high
986,4,low
987,20,medium
988,241,high
989,263,high
990,53,medium
991,1005,high
992,51,medium
993,443,high
994,92,medium
995,181,medium
996,179,medium
997,147,medium
998,1349,high
999,5,low
1000,2,low
1001,10,medium
1002,235,medium
1003,806,high
1004,3,low
1005,116,medium
1006,17,medium
1007,12,medium
1008,6,low
1009,9,low
1010,1,low
1011,72,medium
1012,66,medium
1013,7,low
1014,3,low
1015,27,medium
1016,2,low
1017,24,medium
1018,261,high
1019,517,high
1020,97,medium
1021,4,low
1022,265,high
1023,90,medium
1024,110,medium
1025,201,medium
1026,582,high
1027,34,medium
1028,2,low
1029,563,high
1030,61,medium
1031,334,high
1032,314,high
1033,90,medium
1034,482,high
1035,218,medium
1036,68,medium
1037,67,medium
1038,78,medium
1039,1510,high
1040,104,medium
1041,2490,high
1042,1899,high
1043,2243,high
1044,687,high
1045,1402,high
1046,648,high
1047,40,medium
1048,514,high
1049,706,high
1050,116,medium
1051,918,high
1052,815,high
1053,939,high
1054,126,medium
1055,2106,high
1056,181,medium
1057,418,high
1058,1351,high
1059,1603,high
1060,618,high
1061,48,medium
1062,294,high
1063,191,medium
1064,1009,high
1065,927,high
1066,1422,high
1067,970,high
1068,407,high
1069,360,high
1070,1144,high
1071,167,medium
1072,162,medium
1073,538,high
1074,1045,high
1075,582,high
1076,33,medium
1077,842,high
1078,891,high
1079,541,high
1080,72,medium
1081,237,medium
1082,253,high
1083,1649,high
1084,39,medium
1085,896,high
1086,225,medium
1087,539,high
1088,255,high
1089,620,high
1090,1028,high
1091,406,high
1092,547,high
1093,820,high
1094,172,medium
1095,998,high
1096,434,high
1097,381,high
1098,28,medium
1099,480,high
1100,328,high
1101,823,high
1102,1391,high
1103,261,high
1104,367,high
1105,607,high
1106,543,high
1107,193,medium
1108,1639,high
1109,754,high
1110,647,high
1111,160,medium
1112,535,high
1113,1895,high
1114,390,high
1115,537,high
1116,106,medium
1117,309,high
1118,502,high
1119,769,high
1120,243,high
1121,970,high
1122,119,medium
1123,223,medium
1124,155,medium
1125,638,high
1126,319,high
1127,460,high
1128,520,high
1129,164,medium
1130,541,high
1131,890,high
1132,129,medium
1133,130,medium
1134,1281,high
1135,436,high
1136,528,high
1137,857,high
1138,146,medium
1139,407,high
1140,271,high
1141,230,medium
1142,608,high
1143,261,high
1144,271,high
1145,545,high
1146,238,medium
1147,1150,high
1148,77,medium
1149,73,medium
1150,1187,high
1151,21,medium
1152,14,medium
1153,2,low
1154,1,low
1155,13,medium
1156,306,high
1157,363,high
1158,1,low
1159,1,low
1160,6,low
1161,106,medium
1162,3,low
1163,9,low
1164,41,medium
1165,18,medium
1166,29,medium
1167,495,high
1168,125,medium
1169,1,low
1170,7,low
1171,37,medium
1172,315,high
1173,150,medium
1174,15,medium
1175,73,medium
1176,419,high
1177,262,high
1178,325,high
1179,58,medium
1180,246,high
1181,173,medium
1182,7,low
1183,248,high
1184,13,medium
1185,19,medium
1186,68,medium
1187,179,medium
1188,29,medium
1189,821,high
1190,365,high
1191,968,high
1192,35,medium
1193,1,low
1194,126,medium
1195,73,medium
1196,27,medium
1197,1,low
1198,40,medium
1199,44,medium
1200,124,medium
1201,4,low
1202,610,high
1203,293,high
1204,501,high
1205,149,medium
1206,992,high
1207,394,high
1208,682,high
1209,295,high
1210,280,high
1211,106,medium
1212,451,high
1213,23,medium
1214,29,medium
1215,4,low
1216,208,medium
1217,1249,high
1218,54,medium
1219,11,medium
1220,44,medium
1221,362,high
1222,151,medium
1223,871,high
1224,1053,high
1225,127,medium
1226,678,high
1227,38,medium
1228,23,medium
1229,33,medium
1230,80,medium
1231,29,medium
1232,181,medium
1233,14,medium
1234,513,high
1235,632,high
1236,128,medium
1237,22,medium
1238,274,high
1239,15,medium
1240,20,medium
1241,100,medium
1242,21,medium
1243,135,medium
1244,11,medium
1245,94,medium
1246,5,low
1247,8,low
1248,80,medium
1249,10,medium
1250,70,medium
1251,4,low
1252,7,low
1253,20,medium
1254,136,medium
1255,36,medium
1256,23,medium
1257,1,low
1258,2,low
1259,2,low
1260,7,low
1261,76,medium
1262,7,low
1263,13,medium
1264,235,medium
1265,23,medium
1266,4,low
1267,18,medium
1268,149,medium
1269,22,medium
1270,359,high
1271,10,medium
1272,24,medium
1273,34,medium
1274,3,low
1275,13,medium
1276,84,medium
1277,8,low
1278,176,medium
1279,24,medium
1280,44,medium
1281,12,medium
1282,78,medium
1283,65,medium
1284,472,high
1285,39,medium
1286,1,low
1287,3,low
1288,19,medium
1289,13,medium
1290,25,medium
1291,31,medium
1292,262,high
1293,13,medium
1294,226,medium
1295,109,medium
1296,29,medium
1297,40,medium
1298,78,medium
1299,337,high
1300,2,low
1301,57,medium
1302,68,medium
1303,8,low
1304,1,low
1305,10,medium
1306,2,low
1307,1,low
1308,9,low
1309,7,low
1310,48,medium
1311,42,medium
1312,759,high
1313,3,low
1314,6,low
1315,15,medium
1316,8,low
1317,22,medium
1318,16,medium
1319,13,medium
1320,14,medium
1321,246,high
1322,1,low
1323,29,medium
1324,32,medium
1325,757,high
1326,174,medium
1327,2,low
1328,2,low
1329,1,low
1330,14,medium
1331,6,low
1332,13,medium
1333,822,high
1334,14,medium
1335,5,low
1336,19,medium
1337,4,low
1338,58,medium
1339,285,high
1340,3,low
1341,74,medium
1342,135,medium
1343,4,low
1344,410,high
1345,52,medium
1346,31,medium
1347,17,medium
1348,5,low
1349,14,medium
1350,9,low
1351,405,high
1352,1,low
1353,78,medium
1354,1,low
1355,16,medium
1356,1,low
1357,84,medium
1358,21,medium
1359,24,medium
1360,5,low
1361,205,medium
1362,3,low
1363,398,high
1364,11,medium
1365,34,medium
1366,12,medium
1367,723,high
1368,4,low
1369,8,low
1370,1610,high
1371,16,medium
1372,23,medium
1373,6,low
1374,870,high
1375,13,medium
1376,201,medium
1377,275,high
1378,114,medium
1379,225,medium
1380,93,medium
1381,100,medium
1382,22,medium
1383,31,medium
1384,200,medium
1385,3,low
1386,19,medium
1387,388,high
1388,16,medium
1389,6,low
1390,23,medium
1391,16,medium
1392,4,low
1393,90,medium
1394,16,medium
1395,17,medium
1396,18,medium
1397,618,high
1398,10,medium
1399,1276,high
1400,113,medium
1401,26,medium
1402,9,low
1403,187,medium
1404,127,medium
1405,132,medium
1406,1840,high
1407,176,medium
1408,178,medium
1409,36,medium
1410,12,medium
1411,16,medium
1412,625,high
1413,17,medium
1414,97,medium
1415,31,medium
1416,28,medium
1417,3,low
1418,157,medium
1419,338,high
1420,1,low
1421,643,high
1422,17,medium
1423,828,high
1424,25,medium
1425,187,medium
1426,102,medium
1427,406,high
1428,22,medium
1429,20,medium
1430,108,medium
1431,126,medium
1432,24,medium
1433,6,low
1434,1,low
1435,658,high
1436,45,medium
1437,13,medium
1438,6,low
1439,10,medium
1440,50,medium
1441,3,low
1442,95,medium
1443,31,medium
1444,5,low
1445,500,high
1446,4,low
1447,48,medium
1448,6,low
1449,27,medium
1450,7,low
1451,19,medium
1452,46,medium
1453,9,low
1454,178,medium
1455,721,high
1456,789,high
1457,2,low
1458,476,high
1459,10,medium
1460,308,high
1461,1,low
1462,311,high
1463,11,medium
1464,675,high
1465,142,medium
1466,35,medium
1467,4,low
1468,39,medium
1469,109,medium
1470,160,medium
1471,91,medium
1472,251,high
1473,5,low
1474,218,medium
1475,293,high
1476,20,medium
1477,17,medium
1478,86,medium
1479,140,medium
1480,57,medium
1481,19,medium
1482,1234,high
1483,19,medium
1484,271,high
1485,81,medium
1486,6,low
1487,155,medium
1488,1,low
1489,274,high
1490,875,high
1491,426,high
1492,15,medium
1493,45,medium
1494,89,medium
1495,9,low
1496,450,high
1497,116,medium
1498,6,low
1499,669,high
1500,24,medium
1501,140,medium
1502,98,medium
1503,3,low
1504,3,low
1505,7,low
1506,19,medium
1507,15,medium
1508,466,high
1509,561,high
1510,5,low
1511,10,medium
1512,37,medium
1513,84,medium
1514,177,medium
1515,18,medium
1516,12,medium
1517,56,medium
1518,41,medium
1519,12,medium
1520,55,medium
1521,8,low
1522,116,medium
1523,10,medium
1524,11,medium
1525,40,medium
1526,1,low
1527,484,high
1528,112,medium
1529,4,low
1530,1,low
1531,74,medium
1532,1026,high
1533,84,medium
1535,64,medium
1536,16,medium
1537,165,medium
1538,4,low
1539,80,medium
1540,2,low
1541,2,low
1542,127,medium
1543,10,medium
1544,103,medium
1545,140,medium
1546,35,medium
1547,315,high
1548,56,medium
1549,7,low
1550,25,medium
1551,191,medium
1552,10,medium
1553,19,medium
1554,10,medium
1555,35,medium
1556,3,low
1557,80,medium
1558,2,low
1559,45,medium
1560,6,low
1561,1,low
1562,74,medium
1563,11,medium
1564,1,low
1565,139,medium
1566,1,low
1567,79,medium
1568,356,high
1569,164,medium
1570,68,medium
1571,16,medium
1572,5,low
1573,75,medium
1574,25,medium
1575,2,low
1576,20,medium
1577,188,medium
1578,8,low
1579,62,medium
1580,1,low
1581,4,low
1582,2,low
1583,1,low
1584,10,medium
1585,21,medium
1586,27,medium
1587,7,low
1588,78,medium
1589,18,medium
1590,31,medium
1591,1,low
1592,17,medium
1593,19,medium
1594,3,low
1595,31,medium
1596,78,medium
1597,6,low
1598,6,low
1599,40,medium
1600,3,low
1601,4,low
1602,162,medium
1603,12,medium
1604,74,medium
1605,355,high
1606,1,low
1607,1,low
1608,14,medium
1609,12,medium
1610,16,medium
1611,79,medium
1612,345,high
1613,152,medium
1614,385,high
1615,1,low
1616,13,medium
1617,123,medium
1618,36,medium
1619,1,low
1620,1,low
1621,176,medium
1622,14,medium
1623,126,medium
1624,124,medium
1625,13,medium
1626,73,medium
1627,9,low
1628,5,low
1629,46,medium
1630,3,low
1631,12,medium
1632,2,low
1633,59,medium
1634,11,medium
1635,314,high
1636,500,high
1637,27,medium
1638,156,medium
1639,579,high
1640,114,medium
1641,246,high
1642,1,low
1643,203,medium
1644,482,high
1645,267,high
1646,46,medium
1647,94,medium
1648,400,high
1649,25,medium
1650,961,high
1651,79,medium
1652,31,medium
1653,13,medium
1654,212,medium
1655,13,medium
1656,54,medium
1657,3,low
1658,175,medium
1659,18,medium
1660,10,medium
1661,62,medium
1662,85,medium
1663,58,medium
1664,42,medium
1665,86,medium
1666,176,medium
1667,68,medium
1668,72,medium
1669,92,medium
1670,27,medium
1671,277,high
1672,424,high
1673,155,medium
1674,564,high
1675,131,medium
1676,180,medium
1677,280,high
1678,129,medium
1679,503,high
1680,672,high
1681,788,high
1682,290,high
1683,363,high
1684,411,high
1685,289,high
1686,365,high
1687,463,high
1688,1015,high
1689,440,high
1690,191,medium
1691,204,medium
1692,448,high
1693,113,medium
1694,311,high
1695,1059,high
1696,46,medium
1697,71,medium
1698,28,medium
1699,17,medium
1700,25,medium
1701,105,medium
1702,29,medium
1703,19,medium
1704,26,medium
1705,15,medium
1706,16,medium
1707,15,medium
1708,10,medium
1709,317,high
1710,48,medium
1711,15,medium
1712,30,medium
1713,15,medium
1714,10,medium
1715,5,low
1716,2,low
1717,59,medium
1718,15,medium
1719,8,low
1720,476,high
1721,24,medium
1722,9,low
1723,625,high
1724,7,low
1725,33,medium
1726,1143,high
1727,562,high
1728,323,high
1729,313,high
1730,75,medium
1731,378,high
1732,541,high
1733,9,low
1734,3,low
1735,215,medium
1736,288,high
1737,524,high
1738,446,high
1739,305,high
1740,66,medium
1741,186,medium
1742,21,medium
1743,41,medium
1744,356,high
1745,559,high
1746,563,high
1747,375,high
1748,144,medium
1749,352,high
1750,64,medium
1751,91,medium
1752,31,medium
1753,21,medium
1754,2229,high
1755,49,medium
1756,11,medium
1757,10,medium
1758,76,medium
1759,68,medium
1760,19,medium
1761,11,medium
1762,29,medium
1763,50,medium
1764,39,medium
1765,30,medium
1766,40,medium
1767,63,medium
1768,6,low
1769,26,medium
1770,266,high
1771,7,low
1772,66,medium
1773,17,medium
1774,23,medium
1775,18,medium
1776,60,medium
1777,42,medium
1778,264,high
1779,7,low
1780,10,medium
1781,42,medium
1782,456,high
1783,122,medium
1784,60,medium
1785,3,low
1786,27,medium
1787,2,low
1788,616,high
1789,265,high
1790,81,medium
1791,411,high
1792,86,medium
1793,85,medium
1794,175,medium
1795,117,medium
1796,88,medium
1797,39,medium
1798,11,medium
1799,48,medium
1800,422,high
1801,82,medium
1802,439,high
1803,8,low
1804,576,high
1805,646,high
1806,99,medium
1807,147,medium
1808,34,medium
1809,324,high
1810,16,medium
1811,364,high
1812,87,medium
1813,91,medium
1814,129,medium
1815,60,medium
1816,18,medium
1817,79,medium
1818,256,high
1819,32,medium
1820,308,high
1821,107,medium
1822,28,medium
1823,135,medium
1824,541,high
1825,9,low
1826,90,medium
1827,15,medium
1828,21,medium
1829,428,high
1830,79,medium
1831,49,medium
1832,505,high
1833,365,high
1834,148,medium
1835,126,medium
1836,182,medium
1837,10,medium
1838,153,medium
1839,658,high
1840,203,medium
1841,175,medium
1842,218,medium
1843,19,medium
1844,69,medium
1845,56,medium
1846,48,medium
1847,58,medium
1848,262,high
1849,257,high
1850,110,medium
1851,2,low
1852,12,medium
1853,6,low
1854,202,medium
1855,17,medium
1856,224,medium
1857,220,medium
1858,241,high
1859,87,medium
1860,76,medium
1861,331,high
1862,198,medium
1863,243,high
1864,405,high
1865,194,medium
1866,49,medium
1867,151,medium
1868,431,high
1869,309,high
1870,115,medium
1871,37,medium
1872,47,medium
1873,12,medium
1874,438,high
1875,51,medium
1876,10,medium
1877,23,medium
1878,32,medium
1879,122,medium
1880,6,low
1881,9,low
1882,6,low
1883,120,medium
1884,480,high
1885,395,high
1886,29,medium
1887,52,medium
1888,2,low
1889,49,medium
1890,75,medium
1891,425,high
1892,25,medium
1893,31,medium
1894,29,medium
1895,127,medium
1896,1,low
1897,58,medium
1898,835,high
1899,12,medium
1900,126,medium
1901,34,medium
1902,61,medium
1903,12,medium
1904,26,medium
1905,64,medium
1906,56,medium
1907,131,medium
1908,80,medium
1909,10,medium
1910,411,high
1911,14,medium
1912,57,medium
1913,12,medium
1914,12,medium
1915,2,low
1916,2,low
1917,405,high
1918,842,high
1919,46,medium
1920,1,low
1921,9,low
1922,1,low
1923,8,low
1924,151,medium
1925,193,medium
1926,62,medium
1927,18,medium
1928,125,medium
1929,2,low
1930,155,medium
1931,4,low
1932,34,medium
1933,11,medium
1934,87,medium
1935,7,low
1936,5,low
1937,5,low
1938,1,low
1939,12,medium
1940,198,medium
1941,122,medium
1942,121,medium
1943,22,medium
1944,53,medium
1945,65,medium
1946,125,medium
1947,26,medium
1948,1,low
1949,488,high
1950,1,low
1951,254,high
1952,2,low
1953,131,medium
1954,669,high
1955,92,medium
1956,23,medium
1957,1,low
1958,53,medium
1959,104,medium
1960,15,medium
1961,5,low
1962,6,low
1963,1,low
1964,39,medium
1965,15,medium
1966,70,medium
1967,116,medium
1968,67,medium
1969,11,medium
1970,10,medium
