user_idx,degree,degree_group
326,144,high
327,15,low
328,204,high
329,57,medium
330,389,high
331,57,medium
332,100,medium
333,46,medium
334,37,medium
335,84,medium
336,107,medium
337,226,high
338,97,medium
339,52,medium
340,13,low
341,73,medium
342,233,high
343,37,medium
344,18,low
345,251,high
346,70,medium
347,62,medium
348,94,medium
349,45,medium
350,69,medium
351,450,high
352,15,low
353,32,medium
354,242,high
355,17,low
356,33,medium
357,44,medium
358,33,medium
359,42,medium
360,14,low
361,21,low
362,25,medium
363,13,low
364,18,low
365,185,high
366,23,medium
367,204,high
368,38,medium
369,30,medium
370,35,medium
371,150,high
372,11,low
373,43,medium
374,37,medium
375,90,medium
376,92,medium
377,21,low
378,52,medium
379,87,medium
380,24,medium
381,37,medium
382,12,low
383,11,low
384,89,medium
385,125,medium
386,35,medium
387,37,medium
388,42,medium
389,124,medium
390,54,medium
391,265,high
392,42,medium
393,9,low
394,11,low
395,97,medium
396,24,medium
397,156,high
398,22,medium
399,28,medium
400,53,medium
401,171,high
402,187,high
403,39,medium
404,33,medium
405,70,medium
406,15,low
407,121,medium
408,221,high
409,66,medium
410,262,high
411,406,high
412,88,medium
413,18,low
414,208,high
415,40,medium
416,12,low
417,26,medium
418,75,medium
419,52,medium
420,15,low
421,22,medium
422,14,low
423,786,high
424,126,medium
425,158,high
426,20,low
427,31,medium
428,144,high
429,43,medium
430,51,medium
431,22,medium
432,21,low
433,30,medium
434,88,medium
435,89,medium
436,42,medium
437,335,high
438,60,medium
439,15,low
440,32,medium
441,291,high
442,21,low
443,91,medium
444,116,medium
445,47,medium
446,35,medium
447,10,low
448,33,medium
449,40,medium
450,198,high
451,117,medium
452,240,high
453,131,medium
454,19,low
455,66,medium
456,161,high
457,18,low
458,16,low
459,24,medium
460,214,high
461,92,medium
462,42,medium
463,46,medium
464,21,low
465,175,high
466,28,medium
467,14,low
468,40,medium
469,47,medium
470,57,medium
471,32,medium
472,39,medium
473,158,high
474,165,high
475,280,high
476,102,medium
477,26,medium
478,60,medium
479,48,medium
480,120,medium
481,313,high
482,9,low
483,20,low
484,34,medium
485,27,medium
486,21,low
487,11,low
488,10,low
489,50,medium
490,13,low
491,22,medium
492,120,medium
493,137,medium
494,26,medium
495,99,medium
496,14,low
497,92,medium
498,134,medium
499,56,medium
500,33,medium
501,17,low
502,22,medium
503,71,medium
504,99,medium
505,40,medium
506,28,medium
507,78,medium
508,307,high
509,62,medium
510,13,low
511,23,medium
512,75,medium
513,59,medium
514,90,medium
515,60,medium
516,115,medium
517,215,high
518,22,medium
519,218,high
520,31,medium
521,34,medium
522,74,medium
523,630,high
524,30,medium
525,36,medium
526,18,low
527,270,high
528,100,medium
529,72,medium
530,307,high
531,30,medium
532,289,high
533,67,medium
534,11,low
535,151,high
536,87,medium
537,43,medium
538,90,medium
539,17,low
540,76,medium
541,21,low
542,513,high
543,55,medium
544,13,low
545,113,medium
546,54,medium
547,42,medium
548,758,high
549,514,high
550,159,high
551,65,medium
552,53,medium
553,19,low
554,22,medium
555,125,medium
556,41,medium
557,167,high
558,5,low
559,93,medium
560,22,medium
561,21,low
562,86,medium
563,35,medium
564,13,low
565,87,medium
566,66,medium
567,22,medium
568,61,medium
569,118,medium
570,84,medium
571,5,low
572,25,medium
573,13,low
574,99,medium
575,34,medium
576,135,medium
577,18,low
578,52,medium
579,23,medium
580,29,medium
581,59,medium
582,129,medium
583,32,medium
584,80,medium
585,29,medium
586,126,medium
587,366,high
588,18,low
589,134,medium
590,128,medium
591,17,low
592,58,medium
593,129,medium
594,65,medium
595,12,low
596,50,medium
597,17,low
598,14,low
599,13,low
600,140,medium
601,78,medium
602,30,medium
603,83,medium
604,93,medium
605,21,low
606,17,low
607,54,medium
608,44,medium
609,64,medium
610,101,medium
611,21,low
612,55,medium
613,33,medium
614,78,medium
615,28,medium
616,16,low
617,14,low
618,13,low
619,81,medium
620,94,medium
621,39,medium
622,143,high
623,225,high
624,33,medium
625,49,medium
626,15,low
627,33,medium
628,120,medium
629,98,medium
630,202,high
631,21,low
632,22,medium
633,46,medium
634,156,high
635,59,medium
636,243,high
637,93,medium
638,286,high
639,15,low
640,96,medium
641,19,low
642,15,low
643,52,medium
644,38,medium
645,170,high
646,103,medium
647,116,medium
648,43,medium
649,23,medium
650,288,high
651,37,medium
652,15,low
653,91,medium
654,108,medium
655,119,medium
656,41,medium
657,25,medium
658,66,medium
659,202,high
660,62,medium
661,49,medium
662,56,medium
663,119,medium
664,10,low
665,64,medium
666,64,medium
667,18,low
668,305,high
669,37,medium
670,115,medium
671,31,medium
672,174,high
673,65,medium
674,19,low
675,130,medium
676,146,high
677,635,high
678,63,medium
679,17,low
680,27,medium
681,70,medium
682,14,low
683,27,medium
684,60,medium
685,16,low
686,161,high
687,24,medium
688,63,medium
689,168,high
690,90,medium
691,448,high
692,47,medium
693,24,medium
694,98,medium
695,258,high
696,74,medium
697,149,high
698,225,high
699,21,low
700,34,medium
701,233,high
702,14,low
703,24,medium
704,58,medium
705,84,medium
706,33,medium
707,10,low
708,26,medium
709,462,high
710,104,medium
711,133,medium
712,121,medium
713,341,high
714,66,medium
715,325,high
716,12,low
717,112,medium
718,14,low
719,78,medium
720,354,high
721,38,medium
722,12,low
723,98,medium
724,62,medium
725,53,medium
726,138,medium
727,72,medium
728,90,medium
729,33,medium
730,390,high
731,96,medium
732,89,medium
733,27,medium
734,216,high
735,83,medium
736,122,medium
737,16,low
738,115,medium
739,27,medium
740,37,medium
741,28,medium
742,70,medium
743,143,high
744,7,low
745,103,medium
746,18,low
747,55,medium
748,185,high
749,48,medium
750,18,low
751,391,high
752,150,high
753,101,medium
754,98,medium
755,20,low
756,164,high
757,20,low
758,53,medium
759,55,medium
760,16,low
761,26,medium
762,15,low
763,116,medium
764,218,high
765,33,medium
766,141,medium
767,41,medium
768,43,medium
769,248,high
770,13,low
771,47,medium
772,28,medium
773,70,medium
774,14,low
775,65,medium
776,38,medium
777,97,medium
778,19,low
779,257,high
780,104,medium
781,8,low
782,61,medium
783,20,low
784,54,medium
785,43,medium
786,74,medium
787,104,medium
788,37,medium
789,16,low
790,237,high
791,38,medium
792,73,medium
793,27,medium
794,83,medium
795,132,medium
796,61,medium
797,126,medium
798,22,medium
799,166,high
800,174,high
801,396,high
802,29,medium
803,22,medium
804,48,medium
805,51,medium
806,21,low
807,105,medium
808,67,medium
809,81,medium
810,49,medium
811,58,medium
812,31,medium
813,25,medium
814,18,low
815,122,medium
816,303,high
817,109,medium
818,25,medium
819,49,medium
820,5,low
821,176,high
822,86,medium
823,174,high
824,20,low
825,14,low
826,14,low
827,55,medium
828,112,medium
829,88,medium
830,49,medium
831,119,medium
832,14,low
833,37,medium
834,5,low
835,17,low
836,22,medium
837,132,medium
838,602,high
839,206,high
840,10,low
841,22,medium
842,98,medium
843,42,medium
844,36,medium
845,178,high
846,29,medium
847,45,medium
848,40,medium
849,317,high
850,42,medium
851,25,medium
852,85,medium
853,155,high
854,309,high
855,24,medium
856,55,medium
857,142,medium
858,75,medium
859,17,low
860,53,medium
861,68,medium
862,51,medium
863,99,medium
864,26,medium
865,15,low
866,23,medium
867,40,medium
868,484,high
869,18,low
870,28,medium
871,60,medium
872,134,medium
873,17,low
874,62,medium
875,75,medium
876,281,high
877,36,medium
878,28,medium
879,58,medium
880,283,high
881,61,medium
882,19,low
883,66,medium
884,53,medium
885,18,low
886,45,medium
887,46,medium
888,362,high
889,167,high
890,138,medium
891,21,low
892,35,medium
893,61,medium
894,47,medium
895,43,medium
896,125,medium
897,19,low
898,171,high
899,12,low
900,17,low
901,18,low
902,32,medium
903,113,medium
904,79,medium
905,10,low
906,18,low
907,17,low
908,43,medium
909,97,medium
910,382,high
911,22,medium
912,21,low
913,50,medium
914,16,low
915,41,medium
916,19,low
917,43,medium
918,247,high
919,36,medium
920,96,medium
921,211,high
922,24,medium
923,174,high
924,25,medium
925,91,medium
926,70,medium
927,177,high
928,230,high
929,31,medium
930,113,medium
931,15,low
932,36,medium
933,148,high
934,192,high
935,45,medium
936,247,high
937,20,low
938,101,medium
939,58,medium
940,4,low
941,18,low
942,65,medium
943,29,medium
944,95,medium
945,23,medium
946,7,low
947,321,high
948,243,high
949,14,low
950,16,low
951,121,medium
952,176,high
953,84,medium
954,190,high
955,80,medium
956,283,high
957,113,medium
958,62,medium
959,92,medium
960,30,medium
961,36,medium
962,217,high
963,45,medium
964,60,medium
965,92,medium
966,49,medium
967,48,medium
968,20,low
969,214,high
970,99,medium
971,17,low
972,105,medium
973,37,medium
974,180,high
975,19,low
976,148,high
977,32,medium
978,51,medium
979,58,medium
980,105,medium
981,38,medium
982,54,medium
983,405,high
984,124,medium
985,12,low
986,134,medium
987,53,medium
988,40,medium
989,54,medium
990,31,medium
991,15,low
992,24,medium
993,31,medium
994,28,medium
995,225,high
996,20,low
997,115,medium
998,165,high
999,67,medium
1000,244,high
1001,51,medium
1002,20,low
1003,198,high
1004,72,medium
1005,17,low
1006,23,medium
1007,34,medium
1008,32,medium
1009,218,high
1010,22,medium
1011,24,medium
1012,30,medium
1013,19,low
1014,792,high
1015,100,medium
1016,225,high
1017,90,medium
1018,381,high
1019,66,medium
1020,120,medium
1021,83,medium
1022,31,medium
1023,23,medium
1024,21,low
1025,28,medium
1026,27,medium
1027,43,medium
1028,103,medium
1029,100,medium
1030,130,medium
1031,74,medium
1032,88,medium
1033,196,high
1034,56,medium
1035,40,medium
1036,20,low
1037,108,medium
1038,9,low
1039,227,high
1040,74,medium
1041,9,low
1042,23,medium
1043,96,medium
1044,20,low
1045,15,low
1046,52,medium
1047,31,medium
1048,20,low
1049,135,medium
1050,497,high
1051,56,medium
1052,159,high
1053,93,medium
1054,39,medium
1055,38,medium
1056,104,medium
1057,240,high
1058,152,high
1059,35,medium
1060,37,medium
1061,183,high
1062,80,medium
1063,69,medium
1064,50,medium
1065,72,medium
1066,72,medium
1067,319,high
1068,236,high
1069,11,low
1070,121,medium
1071,87,medium
1072,85,medium
1073,100,medium
1074,29,medium
1075,20,low
1076,229,high
1077,93,medium
1078,71,medium
1079,35,medium
1080,26,medium
1081,47,medium
1082,10,low
1083,61,medium
1084,19,low
1085,232,high
1086,259,high
1087,602,high
1088,55,medium
1089,30,medium
1090,3,low
1091,38,medium
1092,36,medium
1093,93,medium
1094,27,medium
1095,67,medium
1096,95,medium
1097,23,medium
1098,103,medium
1099,104,medium
1100,258,high
1101,7,low
1102,32,medium
1103,31,medium
1104,113,medium
1105,36,medium
1106,45,medium
1107,33,medium
1108,73,medium
1109,38,medium
1110,22,medium
1111,353,high
1112,244,high
1113,72,medium
1114,41,medium
1115,98,medium
1116,517,high
1117,16,low
1118,274,high
1119,490,high
1120,224,high
1121,46,medium
1122,10,low
1123,231,high
1124,219,high
1125,11,low
1126,56,medium
1127,222,high
1128,84,medium
1129,198,high
1130,100,medium
1131,137,medium
1132,82,medium
1133,125,medium
1134,111,medium
1135,24,medium
1136,350,high
1137,55,medium
1138,122,medium
1139,223,high
1140,235,high
1141,132,medium
1142,47,medium
1143,12,low
1144,27,medium
1145,90,medium
1146,170,high
1147,38,medium
1148,38,medium
1149,266,high
1150,204,high
1151,35,medium
1152,24,medium
1153,10,low
1154,73,medium
1155,33,medium
1156,16,low
1157,33,medium
1158,19,low
1159,24,medium
1160,60,medium
1161,83,medium
1162,39,medium
1163,239,high
1164,78,medium
1165,13,low
1166,30,medium
1167,119,medium
1168,36,medium
1169,189,high
1170,22,medium
1171,240,high
1172,123,medium
1173,7,low
1174,55,medium
1175,98,medium
1176,55,medium
1177,17,low
1178,136,medium
1179,33,medium
1180,299,high
1181,173,high
1182,109,medium
1183,126,medium
1184,53,medium
1185,175,high
1186,13,low
1187,24,medium
1188,14,low
1189,19,low
1190,85,medium
1191,25,medium
1192,71,medium
1193,301,high
1194,59,medium
1195,82,medium
1196,18,low
1197,60,medium
1198,107,medium
1199,14,low
1200,35,medium
1201,296,high
1202,455,high
1203,66,medium
1204,55,medium
1205,78,medium
1206,94,medium
1207,38,medium
1208,104,medium
1209,25,medium
1210,257,high
1211,43,medium
1212,16,low
1213,13,low
1214,80,medium
1215,127,medium
1216,42,medium
1217,129,medium
1218,121,medium
1219,96,medium
1220,156,high
1221,24,medium
1222,101,medium
1223,424,high
1224,18,low
1225,6,low
1226,103,medium
1227,168,high
1228,20,low
1229,195,high
1230,75,medium
1231,115,medium
1232,38,medium
1233,20,low
1234,27,medium
1235,8,low
1236,17,low
1237,26,medium
1238,63,medium
1239,9,low
1240,166,high
1241,355,high
1242,211,high
1243,257,high
1244,30,medium
1245,332,high
1246,22,medium
1247,51,medium
1248,16,low
1249,12,low
1250,25,medium
1251,96,medium
1252,42,medium
1253,82,medium
1254,155,high
1255,26,medium
1256,21,low
1257,33,medium
1258,40,medium
1259,354,high
1260,125,medium
1261,78,medium
1262,122,medium
1263,393,high
1264,156,high
1265,368,high
1266,91,medium
1267,161,high
1268,22,medium
1269,10,low
1270,144,high
1271,162,high
1272,252,high
1273,398,high
1274,25,medium
1275,61,medium
1276,17,low
1277,47,medium
1278,96,medium
1279,30,medium
1280,68,medium
1281,13,low
1282,20,low
1283,250,high
1284,798,high
1285,35,medium
1286,64,medium
1287,86,medium
1288,29,medium
1289,44,medium
1290,180,high
1291,23,medium
1292,32,medium
1293,179,high
1294,18,low
1295,34,medium
1296,259,high
1297,465,high
1298,153,high
1299,98,medium
1300,194,high
1301,53,medium
1302,327,high
1303,57,medium
1304,18,low
1305,365,high
1306,18,low
1307,48,medium
1308,13,low
1309,15,low
1310,99,medium
1311,71,medium
1312,17,low
1313,86,medium
1314,83,medium
1315,14,low
1316,522,high
1317,6,low
1318,10,low
1319,82,medium
1320,76,medium
1321,290,high
1322,94,medium
1323,76,medium
1324,221,high
1325,23,medium
1326,40,medium
1327,67,medium
1328,188,high
1329,37,medium
1330,124,medium
1331,15,low
1332,341,high
1333,41,medium
1334,120,medium
1335,16,low
1336,36,medium
1337,106,medium
1338,88,medium
1339,145,high
1340,27,medium
1341,30,medium
1342,237,high
1343,48,medium
1344,120,medium
1345,11,low
1346,103,medium
1347,98,medium
1348,38,medium
1349,69,medium
1350,16,low
1351,86,medium
1352,22,medium
1353,318,high
1354,44,medium
1355,136,medium
1356,55,medium
1357,88,medium
1358,53,medium
1359,56,medium
1360,105,medium
1361,109,medium
1362,17,low
1363,40,medium
1364,36,medium
1365,78,medium
1366,136,medium
1367,29,medium
1368,270,high
1369,61,medium
1370,34,medium
1371,19,low
1372,51,medium
1373,68,medium
1374,43,medium
1375,68,medium
1376,108,medium
1377,51,medium
1378,12,low
1379,103,medium
1380,31,medium
1381,28,medium
1382,389,high
1383,11,low
1384,10,low
1385,62,medium
1386,131,medium
1387,37,medium
1388,272,high
1389,222,high
1390,95,medium
1391,123,medium
1392,85,medium
1393,10,low
1394,207,high
1395,122,medium
1396,28,medium
1397,20,low
1398,200,high
1399,44,medium
1400,42,medium
1401,37,medium
1402,42,medium
1403,91,medium
1404,32,medium
1405,13,low
1406,133,medium
1407,56,medium
1408,70,medium
1409,60,medium
1410,35,medium
1411,10,low
1412,122,medium
1413,45,medium
1414,105,medium
1415,11,low
1416,14,low
1417,88,medium
1418,11,low
1419,160,high
1420,124,medium
1421,185,high
1422,59,medium
1423,19,low
1424,471,high
1425,193,high
1426,89,medium
1427,40,medium
1428,8,low
1429,93,medium
1430,9,low
1431,16,low
1432,36,medium
1433,74,medium
1434,18,low
1435,48,medium
1436,143,high
1437,18,low
1438,18,low
1439,60,medium
1440,53,medium
1441,73,medium
1442,28,medium
1443,18,low
1444,13,low
1445,82,medium
1446,446,high
1447,679,high
1448,350,high
1449,36,medium
1450,534,high
1451,14,low
1452,11,low
1453,11,low
1454,35,medium
1455,14,low
1456,225,high
1457,74,medium
1458,14,low
1459,11,low
1460,26,medium
1461,17,low
1462,61,medium
1463,69,medium
1464,404,high
1465,147,high
1466,42,medium
1467,54,medium
1468,23,medium
1469,197,high
1470,18,low
1471,117,medium
1472,71,medium
1473,82,medium
1474,50,medium
1475,44,medium
1476,23,medium
1477,22,medium
1478,20,low
1479,17,low
1480,90,medium
1481,22,medium
1482,105,medium
1483,188,high
1484,13,low
1485,22,medium
1486,15,low
1487,14,low
1488,104,medium
1489,148,high
1490,115,medium
1491,57,medium
1492,12,low
1493,65,medium
1494,44,medium
1495,158,high
1496,135,medium
1497,88,medium
1498,93,medium
1499,78,medium
1500,387,high
1501,147,high
1502,144,high
1503,19,low
1504,204,high
1505,70,medium
1506,83,medium
1507,10,low
1508,104,medium
1509,16,low
1510,70,medium
1511,13,low
1512,115,medium
1513,80,medium
1514,16,low
1515,113,medium
1516,32,medium
1517,22,medium
1518,47,medium
1519,15,low
1520,32,medium
1521,39,medium
1522,56,medium
1523,168,high
1524,58,medium
1525,25,medium
1526,39,medium
1527,49,medium
1528,17,low
1529,291,high
1530,17,low
1531,93,medium
1532,48,medium
1533,13,low
1534,19,low
1535,30,medium
1536,24,medium
1537,68,medium
1538,23,medium
1539,88,medium
1540,19,low
1541,183,high
1542,84,medium
1543,105,medium
1544,63,medium
1545,227,high
1546,97,medium
1547,28,medium
1548,11,low
1549,18,low
1550,120,medium
1551,163,high
1552,24,medium
1553,17,low
1554,66,medium
1555,136,medium
1556,41,medium
1557,18,low
1558,28,medium
1559,93,medium
1560,118,medium
1561,9,low
1562,54,medium
1563,41,medium
1564,33,medium
1565,14,low
1566,66,medium
1567,20,low
1568,84,medium
1569,33,medium
1570,113,medium
1571,17,low
1572,16,low
1573,27,medium
1574,33,medium
1575,31,medium
1576,97,medium
1577,22,medium
1578,412,high
1579,17,low
1580,16,low
1581,10,low
1582,30,medium
1583,217,high
1584,68,medium
1585,353,high
1586,262,high
1587,34,medium
1588,58,medium
1589,26,medium
1590,257,high
1591,167,high
1592,66,medium
1593,87,medium
1594,103,medium
1595,11,low
1596,128,medium
1597,96,medium
1598,242,high
1599,205,high
1600,138,medium
1601,94,medium
1602,38,medium
1603,19,low
1604,414,high
1605,116,medium
1606,97,medium
1607,17,low
1608,168,high
1609,16,low
1610,322,high
1611,11,low
1612,431,high
1613,27,medium
1614,4,low
1615,104,medium
1616,96,medium
1617,71,medium
1618,22,medium
1619,24,medium
1620,4,low
1621,13,low
1622,56,medium
1623,141,medium
1624,18,low
1625,150,high
1626,19,low
1627,290,high
1628,33,medium
1629,14,low
1630,167,high
1631,177,high
1632,6,low
1633,55,medium
1634,504,high
1635,56,medium
1636,62,medium
1637,31,medium
1638,365,high
1639,26,medium
1640,72,medium
1641,37,medium
1642,194,high
1643,18,low
1644,394,high
1645,25,medium
1646,378,high
1647,77,medium
1648,34,medium
1649,112,medium
1650,10,low
1651,9,low
1652,16,low
1653,36,medium
1654,112,medium
1655,10,low
1656,28,medium
1657,224,high
1658,19,low
1659,42,medium
1660,23,medium
1661,14,low
1662,33,medium
1663,8,low
1664,37,medium
1665,168,high
1666,241,high
1667,20,low
1668,18,low
1669,50,medium
1670,446,high
1671,24,medium
1672,68,medium
1673,12,low
1674,245,high
1675,441,high
1676,27,medium
1677,57,medium
1678,55,medium
1679,1106,high
1680,97,medium
1681,22,medium
1682,101,medium
1683,45,medium
1684,238,high
1685,15,low
1686,221,high
1687,75,medium
1688,72,medium
1689,79,medium
1690,24,medium
1691,190,high
1692,197,high
1693,254,high
1694,118,medium
1695,185,high
1696,284,high
1697,691,high
1698,300,high
1699,22,medium
1700,321,high
1701,72,medium
1702,17,low
1703,25,medium
1704,47,medium
1705,138,medium
1706,75,medium
1707,11,low
1708,121,medium
1709,46,medium
1710,13,low
1711,267,high
1712,8,low
1713,135,medium
1714,21,low
1715,106,medium
1716,284,high
1717,27,medium
1718,5,low
1719,37,medium
1720,21,low
1721,172,high
1722,82,medium
1723,125,medium
1724,21,low
1725,87,medium
1726,421,high
1727,35,medium
1728,17,low
1729,11,low
1730,30,medium
1731,28,medium
1732,428,high
1733,64,medium
1734,24,medium
1735,81,medium
1736,393,high
1737,40,medium
1738,47,medium
1739,44,medium
1740,482,high
1741,27,medium
1742,64,medium
1743,106,medium
1744,47,medium
1745,256,high
1746,9,low
1747,289,high
1748,135,medium
1749,30,medium
1750,18,low
1751,295,high
1752,188,high
1753,12,low
1754,206,high
1755,25,medium
1756,249,high
1757,327,high
1758,152,high
1759,46,medium
1760,17,low
1761,47,medium
1762,14,low
1763,504,high
1764,71,medium
1765,9,low
1766,177,high
1767,65,medium
1768,22,medium
1769,28,medium
1770,17,low
1771,16,low
1772,38,medium
1773,16,low
1774,102,medium
1775,162,high
1776,35,medium
1777,301,high
1778,70,medium
1779,123,medium
1780,52,medium
1781,21,low
1782,11,low
1783,19,low
1784,20,low
1785,39,medium
1786,9,low
1787,20,low
1788,46,medium
1789,237,high
1790,76,medium
1791,25,medium
1792,164,high
1793,87,medium
1794,19,low
1795,134,medium
1796,140,medium
1797,32,medium
1798,47,medium
1799,142,medium
1800,14,low
1801,156,high
1802,151,high
1803,56,medium
1804,133,medium
1805,183,high
1806,116,medium
1807,16,low
1808,23,medium
1809,23,medium
1810,22,medium
1811,461,high
1812,10,low
1813,24,medium
1814,27,medium
1815,48,medium
1816,49,medium
1817,26,medium
1818,71,medium
1819,192,high
1820,17,low
1821,45,medium
1822,16,low
1823,77,medium
1824,74,medium
1825,26,medium
1826,27,medium
1827,59,medium
1828,12,low
1829,19,low
1830,62,medium
1831,31,medium
1832,45,medium
1833,52,medium
1834,587,high
1835,328,high
1836,411,high
1837,6,low
1838,62,medium
1839,17,low
1840,71,medium
1841,384,high
1842,69,medium
1843,10,low
1844,78,medium
1845,46,medium
1846,33,medium
1847,11,low
1848,12,low
1849,47,medium
1850,85,medium
1851,30,medium
1852,117,medium
1853,51,medium
1854,31,medium
1855,123,medium
1856,31,medium
1857,65,medium
1858,25,medium
1859,126,medium
1860,203,high
1861,29,medium
1862,92,medium
1863,9,low
1864,176,high
1865,109,medium
1866,16,low
1867,29,medium
1868,31,medium
1869,91,medium
1870,62,medium
1871,20,low
1872,104,medium
1873,39,medium
1874,212,high
1875,16,low
1876,48,medium
1877,51,medium
1878,184,high
1879,447,high
1880,45,medium
1881,162,high
1882,179,high
1883,512,high
1884,42,medium
1885,16,low
1886,57,medium
1887,18,low
1888,267,high
1889,110,medium
1890,144,high
1891,17,low
1892,15,low
1893,153,high
1894,74,medium
1895,161,high
1896,400,high
1897,17,low
1898,519,high
1899,24,medium
1900,121,medium
1901,155,high
1902,153,high
1903,151,high
1904,34,medium
1905,14,low
1906,16,low
1907,76,medium
1908,30,medium
1909,32,medium
1910,14,low
1911,157,high
1912,34,medium
1913,12,low
1914,18,low
1915,266,high
1916,64,medium
1917,8,low
1918,28,medium
1919,300,high
1920,34,medium
1921,206,high
1922,29,medium
1923,37,medium
1924,178,high
1925,479,high
1926,14,low
1927,133,medium
1928,13,low
1929,121,medium
1930,47,medium
1931,48,medium
1932,12,low
1933,19,low
1934,29,medium
1935,15,low
1936,118,medium
1937,60,medium
1938,137,medium
1939,60,medium
1940,586,high
1941,18,low
1942,422,high
1943,46,medium
1944,9,low
1945,54,medium
1946,107,medium
1947,75,medium
1948,79,medium
1949,67,medium
1950,45,medium
1951,126,medium
1952,22,medium
1953,113,medium
1954,22,medium
1955,27,medium
1956,30,medium
1957,332,high
1958,51,medium
1959,145,high
1960,48,medium
1961,125,medium
1962,62,medium
1963,11,low
1964,21,low
1965,34,medium
1966,13,low
1967,121,medium
1968,339,high
1969,26,medium
1970,25,medium
